family,lattice_L,n_qubits,depth,task,task_description,support_size,local_units,task_p2,exp_task_p2,k90,log10_k90,k90_per_local_unit,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms,all_pauli_log10_k90,log10_k90_over_all_pauli,k90_over_all_pauli
two_dimensional_local_window_stress,3,9,2,site_z,single-site Z probes on a square lattice,1,9,0.4480247225269604,1.565217391304348,22.0,1.3424226808222062,2.4444444444444446,29.0,9,9,0,3.2222222222222223,5.372782431390987,-4.030359750568781,9.324815538194424e-05
two_dimensional_local_window_stress,3,9,2,site_xy,single-site X/Y probes on a square lattice,1,9,1.7244172648984042,5.609251369446134,223.0,2.3483048630481607,24.77777777777778,626.0,18,18,0,39.22222222222222,5.372782431390987,-3.024477568342826,0.0009451972113715267
two_dimensional_local_window_stress,3,9,2,bond_xx,nearest-neighbor XX bond terms on a square lattice,2,12,2.3275524015130142,10.25281602002503,333.0,2.5224442335063197,27.75,614.0,12,12,0,79.5,5.372782431390987,-2.850338197884667,0.001411437988281248
two_dimensional_local_window_stress,3,9,2,plaquette_xy,all transverse X/Y strings on each square plaquette,4,4,4.706848254075119,110.70270270270267,4117.0,3.614580866997486,1029.25,5320.0,64,64,0,357.25,5.372782431390987,-1.758201564393501,0.01745012071397567
two_dimensional_local_window_stress,3,9,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,nan,235929.60000000027,5.372782431390987,nan,262144.0000000001,nan,nan,0,nan,5.372782431390987,0.0,1.0
two_dimensional_local_window_stress,4,16,2,site_z,single-site Z probes on a square lattice,1,16,0.514739523087127,1.673202614379085,34.0,1.5314789170422551,2.125,54.0,16,16,0,3.375,9.587202370686724,-8.055723453644468,8.79582431581285e-09
two_dimensional_local_window_stress,4,16,2,site_xy,single-site X/Y probes on a square lattice,1,16,1.4055209824643546,4.0776505724240915,205.0,2.311753861055754,12.8125,323.0,32,32,0,17.40625,9.587202370686724,-7.275448509630969,5.303364661004802e-08
two_dimensional_local_window_stress,4,16,2,bond_xx,nearest-neighbor XX bond terms on a square lattice,2,24,2.3026257839260773,10.000406917599186,449.0,2.6522463410033232,18.708333333333332,770.0,24,24,0,32.083333333333336,9.587202370686724,-6.9349560296834,1.1615662111176375e-07
two_dimensional_local_window_stress,4,16,2,plaquette_xy,all transverse X/Y strings on each square plaquette,4,9,4.027306725570953,56.10958904109589,3621.0,3.5588285248170117,402.3333333333333,5976.0,144,144,0,169.0,9.587202370686724,-6.028373845869712,9.367552896340671e-07
two_dimensional_local_window_stress,4,16,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,nan,3865470566.400004,9.587202370686724,nan,4294967296.000001,nan,nan,0,nan,9.587202370686724,0.0,1.0
two_dimensional_local_window_stress,5,25,2,site_z,single-site Z probes on a square lattice,1,25,0.5108256237659907,1.6666666666666667,73.0,1.863322860120456,2.92,93.0,25,25,0,3.72,15.005742292638384,-13.14241943251793,7.204113848678784e-14
two_dimensional_local_window_stress,5,25,2,site_xy,single-site X/Y probes on a square lattice,1,25,1.8232259493054324,6.191800701414922,1826.0,3.2615007731982804,73.04,4898.0,50,50,0,110.12,15.005742292638384,-11.744241519440104,1.8020153270804785e-12
two_dimensional_local_window_stress,5,25,2,bond_xx,nearest-neighbor XX bond terms on a square lattice,2,40,3.0728495768984216,21.603375527426152,4167.0,3.619823500457278,104.175,7750.0,40,40,0,213.45,15.005742292638384,-11.385918792181107,4.112266083211579e-12
two_dimensional_local_window_stress,5,25,2,plaquette_xy,all transverse X/Y strings on each square plaquette,4,16,5.753042195232241,315.1479449996242,107228.0,5.030308205670912,6701.75,229288.0,256,256,0,2923.5625,15.005742292638384,-9.975434086967471,1.0581955065289485e-10
two_dimensional_local_window_stress,5,25,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,nan,1013309916158360.9,15.005742292638384,nan,1125899906842622.4,nan,nan,0,nan,15.005742292638384,0.0,1.0
two_dimensional_local_window_stress,6,36,2,site_z,single-site Z probes on a square lattice,1,36,0.5630940523117476,1.7560975609756098,85.0,1.9294189257142926,2.361111111111111,142.0,36,36,0,3.9444444444444446,21.628402197245972,-19.69898327153168,1.9999389032393082e-20
two_dimensional_local_window_stress,6,36,2,site_xy,single-site X/Y probes on a square lattice,1,36,1.5854230362302264,4.88135593220339,672.0,2.8273692730538253,18.666666666666668,1030.0,72,72,0,25.944444444444443,21.628402197245972,-18.801032924192146,1.5811281682080258e-19
two_dimensional_local_window_stress,6,36,2,bond_xx,nearest-neighbor XX bond terms on a square lattice,2,60,2.7036652976086515,14.934370442391833,1714.0,3.2340108175871793,28.566666666666666,2737.0,60,60,0,45.61666666666667,21.628402197245972,-18.394391379658792,4.032817976649636e-19
two_dimensional_local_window_stress,6,36,2,plaquette_xy,all transverse X/Y strings on each square plaquette,4,25,4.61590879131515,101.07964710963046,23289.0,4.367150840883079,931.56,37368.0,400,400,0,380.52,21.628402197245972,-17.26125135636289,5.479597307945954e-18
two_dimensional_local_window_stress,6,36,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,nan,4.25012983458269e+21,21.628402197245972,nan,4.722366482869653e+21,nan,nan,0,nan,21.628402197245972,0.0,1.0
