case,n_qubits,layers,t_density,task_p2,collision_probability,samples,effective_samples,trials,relative_rmse,theory_relative_rmse,labels_used,capped_labels,avg_terminal_terms
local Z n8,8,5,0.25,0.6931471805599453,0.5,128,64.0,100,0.09020646889913161,0.08838834764831845,8,0,2.375
local Z n8,8,5,0.25,0.6931471805599453,0.5,256,128.0,100,0.05915873443013297,0.0625,8,0,2.375
local Z n8,8,5,0.25,0.6931471805599453,0.5,512,256.0,100,0.04102864376719026,0.04419417382415922,8,0,2.375
local Z n8,8,5,0.25,0.6931471805599453,0.5,1024,512.0,100,0.03133776737520559,0.03125,8,0,2.375
local Z n8,8,5,0.25,0.6931471805599453,0.5,2048,1024.0,100,0.02673338728952393,0.02209708691207961,8,0,2.375
local X/Y n8,8,5,0.25,1.921878721081641,0.146331787109375,128,18.73046875,100,0.23096065626057952,0.21348640898100224,16,0,24.3125
local X/Y n8,8,5,0.25,1.921878721081641,0.146331787109375,256,37.4609375,100,0.1507040471292087,0.15095768748163135,16,0,24.3125
local X/Y n8,8,5,0.25,1.921878721081641,0.146331787109375,512,74.921875,100,0.11110335240127538,0.10674320449050112,16,0,24.3125
local X/Y n8,8,5,0.25,1.921878721081641,0.146331787109375,1024,149.84375,100,0.07143637414283172,0.07547884374081568,16,0,24.3125
local X/Y n8,8,5,0.25,1.921878721081641,0.146331787109375,2048,299.6875,100,0.055412275911753066,0.05337160224525056,16,0,24.3125
Hamiltonian n10,10,4,0.25,0.5330617652128724,0.5868055555555556,128,75.11111111111111,100,0.07263901083750961,0.07416946452183419,27,0,3.111111111111111
Hamiltonian n10,10,4,0.25,0.5330617652128724,0.5868055555555556,256,150.22222222222223,100,0.049537166259354885,0.05244573132036401,27,0,3.111111111111111
Hamiltonian n10,10,4,0.25,0.5330617652128724,0.5868055555555556,512,300.44444444444446,100,0.04073389445606089,0.037084732260917096,27,0,3.111111111111111
Hamiltonian n10,10,4,0.25,0.5330617652128724,0.5868055555555556,1024,600.8888888888889,100,0.028826790933449652,0.026222865660182004,27,0,3.111111111111111
Hamiltonian n10,10,4,0.25,0.5330617652128724,0.5868055555555556,2048,1201.7777777777778,100,0.018528946156670556,0.018542366130458548,27,0,3.111111111111111
transported Z n12,12,4,0.2,0.8326487401709718,0.4348958333333333,128,55.666666666666664,100,0.08865309401370533,0.10075500908782364,12,0,4.083333333333333
transported Z n12,12,4,0.2,0.8326487401709718,0.4348958333333333,256,111.33333333333333,100,0.06718605569473785,0.07124455016451232,12,0,4.083333333333333
transported Z n12,12,4,0.2,0.8326487401709718,0.4348958333333333,512,222.66666666666666,100,0.049641043605329796,0.05037750454391182,12,0,4.083333333333333
transported Z n12,12,4,0.2,0.8326487401709718,0.4348958333333333,1024,445.3333333333333,100,0.03728589361404869,0.03562227508225616,12,0,4.083333333333333
transported Z n12,12,4,0.2,0.8326487401709718,0.4348958333333333,2048,890.6666666666666,100,0.025454384798601536,0.02518875227195591,12,0,4.083333333333333
all Pauli n12,12,4,0.2,1.980350639035605,0.13802083333333334,128,17.666666666666668,100,0.26560248082668336,0.22088746814816285,24,0,11.583333333333334
all Pauli n12,12,4,0.2,1.980350639035605,0.13802083333333334,256,35.333333333333336,100,0.1511466791521584,0.15619102660669346,24,0,11.583333333333334
all Pauli n12,12,4,0.2,1.980350639035605,0.13802083333333334,512,70.66666666666667,100,0.10116797447890195,0.11044373407408142,24,0,11.583333333333334
all Pauli n12,12,4,0.2,1.980350639035605,0.13802083333333334,1024,141.33333333333334,100,0.07958604016565245,0.07809551330334673,24,0,11.583333333333334
all Pauli n12,12,4,0.2,1.980350639035605,0.13802083333333334,2048,282.6666666666667,100,0.05644410459695703,0.05522186703704071,24,0,11.583333333333334
