dataset,circuit_id,task,n_qubits,threshold,hit,target_mass,avg_retained_terms,relative_rms_error,best_relative_rms_error,best_avg_retained_terms,labels_used,capped_labels,status,layers,t_density,repeat,circuit_seed,model,periods,frame,detail,benchmark,size,gates,t_count
random,random_n10_r0,local_z,10,0.1,True,0.5,1.4,0.09704317356507725,0.0,1.5,10,0,ok,4,0.2,0,636628217602283721,,,,,,,,
random,random_n10_r0,local_transverse,10,0.1,True,0.9,2.0,0.0,0.0,2.0,20,0,ok,4,0.2,0,636628217602283721,,,,,,,,
random,random_n10_r0,hamiltonian_terms,10,0.1,True,0.9,2.0,0.0,0.0,2.0,27,0,ok,4,0.2,0,636628217602283721,,,,,,,,
random,random_n10_r0,all_pauli,10,0.1,True,0.95,5.541666666666667,7.341898804033393e-18,7.341898804033393e-18,5.541666666666667,24,0,ok,4,0.2,0,636628217602283721,,,,,,,,
random,random_n10_r1,local_z,10,0.1,True,0.5,1.9,0.006420716017503099,0.0,2.6,10,0,ok,4,0.2,1,143945974081263499,,,,,,,,
random,random_n10_r1,local_transverse,10,0.1,True,0.5,2.5,0.04607466320224301,4.3446853875093496e-17,3.65,20,0,ok,4,0.2,1,143945974081263499,,,,,,,,
random,random_n10_r1,hamiltonian_terms,10,0.1,True,0.9,4.7407407407407405,0.015692040727738554,1.4116595946872387e-17,4.962962962962963,27,0,ok,4,0.2,1,143945974081263499,,,,,,,,
random,random_n10_r1,all_pauli,10,0.1,True,0.95,17.291666666666668,0.058148830414262435,5.1037482983460225e-17,17.875,24,0,ok,4,0.2,1,143945974081263499,,,,,,,,
random,random_n10_r2,local_z,10,0.1,True,0.9,2.3,0.0,0.0,2.3,10,0,ok,4,0.2,2,519510022046566965,,,,,,,,
random,random_n10_r2,local_transverse,10,0.1,True,0.9,3.2,0.029995302455315464,8.538798387936322e-17,3.25,20,0,ok,4,0.2,2,519510022046566965,,,,,,,,
random,random_n10_r2,hamiltonian_terms,10,0.1,True,0.9,3.111111111111111,0.07963661356498372,1.301696284987841e-17,3.1481481481481484,27,0,ok,4,0.2,2,519510022046566965,,,,,,,,
random,random_n10_r2,all_pauli,10,0.1,True,0.98,10.833333333333334,2.07370493729692e-16,2.07370493729692e-16,10.833333333333334,24,0,ok,4,0.2,2,519510022046566965,,,,,,,,
random,random_n10_r3,local_z,10,0.1,True,0.5,1.1,0.0,0.0,1.1,10,0,ok,4,0.2,3,1074898894621931035,,,,,,,,
random,random_n10_r3,local_transverse,10,0.1,True,0.5,1.75,0.0,0.0,1.75,20,0,ok,4,0.2,3,1074898894621931035,,,,,,,,
random,random_n10_r3,hamiltonian_terms,10,0.1,True,0.9,2.0,0.0,0.0,2.0,27,0,ok,4,0.2,3,1074898894621931035,,,,,,,,
random,random_n10_r3,all_pauli,10,0.1,True,0.9,7.291666666666667,0.05041487376934358,0.0,7.541666666666667,24,0,ok,4,0.2,3,1074898894621931035,,,,,,,,
random,random_n10_r4,local_z,10,0.1,True,0.5,1.3,0.0,0.0,1.3,10,0,ok,4,0.2,4,30341637351952653,,,,,,,,
random,random_n10_r4,local_transverse,10,0.1,True,0.5,1.45,0.07601041141542693,0.0,1.55,20,0,ok,4,0.2,4,30341637351952653,,,,,,,,
random,random_n10_r4,hamiltonian_terms,10,0.1,True,0.9,1.9259259259259258,0.0,0.0,1.9259259259259258,27,0,ok,4,0.2,4,30341637351952653,,,,,,,,
random,random_n10_r4,all_pauli,10,0.1,True,0.9,6.916666666666667,0.08953753027879614,0.0,7.166666666666667,24,0,ok,4,0.2,4,30341637351952653,,,,,,,,
random,random_n10_r5,local_z,10,0.1,True,0.5,1.6,0.0,0.0,1.6,10,0,ok,4,0.2,5,757567549650202918,,,,,,,,
random,random_n10_r5,local_transverse,10,0.1,True,0.9,2.05,0.0,0.0,2.05,20,0,ok,4,0.2,5,757567549650202918,,,,,,,,
random,random_n10_r5,hamiltonian_terms,10,0.1,True,0.9,2.7777777777777777,0.0,0.0,2.7777777777777777,27,0,ok,4,0.2,5,757567549650202918,,,,,,,,
random,random_n10_r5,all_pauli,10,0.1,True,0.95,17.416666666666668,0.09333519068416049,6.98961414289121e-17,18.0,24,0,ok,4,0.2,5,757567549650202918,,,,,,,,
random,random_n10_r6,local_z,10,0.1,True,0.5,1.2,0.0,0.0,1.2,10,0,ok,4,0.2,6,941611175098052455,,,,,,,,
random,random_n10_r6,local_transverse,10,0.1,True,0.5,1.3,0.0,0.0,1.3,20,0,ok,4,0.2,6,941611175098052455,,,,,,,,
