n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.1,4.0,0,798963170080928760,local_z,1.3536305543010991,174,0.1980699137620938,1.2190476190476192,4,10,12,0.9874285714285715,8.203125,15,8,8,0,1.875
8,5,0.1,4.0,0,798963170080928760,local_transverse,1.3536305543010991,174,0.4921214344993546,1.6357827476038338,8,33,39,1.3249840255591054,20.173828125,47,16,16,0,4.0625
8,5,0.1,4.0,0,798963170080928760,hamiltonian_terms,1.3536305543010991,174,0.6165444487588522,1.8525155065472085,14,58,74,1.500537560303239,31.308779761904766,94,21,21,0,4.476190476190476
8,5,0.1,4.0,0,798963170080928760,transported_local_z,1.3536305543010991,174,0.33024168687057687,1.391304347826087,4,14,17,1.1269565217391304,10.0625,20,8,8,0,2.5
8,5,0.1,4.0,0,798963170080928760,all_pauli,1.3536305543010991,174,1.2570037186120273,3.5148741418764304,35,97,116,2.8470480549199086,27.597005208333332,143,24,24,0,5.958333333333333
8,5,0.1,4.0,1,881523424200237565,local_z,0.2876820724517809,42,-0.0,1.0,4,8,8,0.81,8.0,8,8,8,0,1.0
8,5,0.1,4.0,1,881523424200237565,local_transverse,0.2876820724517809,42,0.06453852113757118,1.0666666666666667,8,15,16,0.864,14.0625,16,16,16,0,1.125
8,5,0.1,4.0,1,881523424200237565,hamiltonian_terms,0.2876820724517809,42,0.10008345855698253,1.1052631578947367,11,21,23,0.8952631578947368,19.000000000000004,25,21,21,0,1.1904761904761905
8,5,0.1,4.0,1,881523424200237565,transported_local_z,0.2876820724517809,42,0.06453852113757118,1.0666666666666667,4,8,9,0.864,7.5,9,8,8,0,1.125
8,5,0.1,4.0,1,881523424200237565,all_pauli,0.2876820724517809,42,0.2602830982636664,1.2972972972972971,12,31,33,1.0508108108108107,23.895833333333336,35,24,24,0,1.4583333333333333
8,5,0.1,4.0,2,177549428965584540,local_z,1.0565410747474226,110,0.2876820724517809,1.3333333333333333,4,11,12,1.08,8.25,12,8,8,0,1.5
8,5,0.1,4.0,2,177549428965584540,local_transverse,1.0565410747474226,110,0.44531101665536404,1.5609756097560976,9,25,28,1.2643902439024393,16.015625,31,16,16,0,2.1875
8,5,0.1,4.0,2,177549428965584540,hamiltonian_terms,1.0565410747474226,110,0.5913644862500029,1.8064516129032258,17,39,43,1.463225806451613,21.589285714285715,51,21,21,0,2.4285714285714284
8,5,0.1,4.0,2,177549428965584540,transported_local_z,1.0565410747474226,110,0.42121346507630353,1.5238095238095237,5,12,14,1.2342857142857142,7.875,15,8,8,0,1.875
8,5,0.1,4.0,2,177549428965584540,all_pauli,1.0565410747474226,110,1.2144441041932315,3.3684210526315788,36,97,113,2.728421052631579,28.796875,132,24,24,0,5.5
8,5,0.1,4.0,3,357798337906562973,local_z,1.684447733438967,225,0.44531101665536404,1.5609756097560976,4,16,19,1.2643902439024393,10.25,22,8,8,0,2.75
8,5,0.1,4.0,3,357798337906562973,local_transverse,1.684447733438967,225,1.2685113254635072,3.5555555555555554,21,65,71,2.88,18.28125,77,16,16,0,5.0625
8,5,0.1,4.0,3,357798337906562973,hamiltonian_terms,1.684447733438967,225,0.7801585575495751,2.181818181818182,18,60,68,1.7672727272727276,27.499999999999996,76,21,21,0,3.619047619047619
8,5,0.1,4.0,3,357798337906562973,transported_local_z,1.684447733438967,225,0.7915872533731978,2.206896551724138,8,22,25,1.7875862068965518,9.96875,28,8,8,0,3.5
8,5,0.1,4.0,3,357798337906562973,all_pauli,1.684447733438967,225,1.2966822024302034,3.657142857142857,38,112,131,2.962285714285714,30.625,150,24,24,0,6.25
8,5,0.1,4.0,4,1881455712524448,local_z,1.4363548630768086,170,0.3746934494414107,1.4545454545454546,5,12,13,1.1781818181818182,8.25,13,8,8,0,1.625
8,5,0.1,4.0,4,1881455712524448,local_transverse,1.4363548630768086,170,0.6776429940239801,1.9692307692307693,13,27,30,1.5950769230769233,13.7109375,33,16,16,0,2.6875
8,5,0.1,4.0,4,1881455712524448,hamiltonian_terms,1.4363548630768086,170,0.5492530008998762,1.731958762886598,15,43,51,1.4028865979381444,24.827380952380953,59,21,21,0,2.8095238095238093
8,5,0.1,4.0,4,1881455712524448,transported_local_z,1.4363548630768086,170,0.13353139262452263,1.1428571428571428,4,9,10,0.9257142857142857,7.875,10,8,8,0,1.25
8,5,0.1,4.0,4,1881455712524448,all_pauli,1.4363548630768086,170,1.3707901745839253,3.9384615384615387,35,141,160,3.1901538461538466,35.80078125,195,24,24,0,8.125
8,5,0.1,4.0,5,464167746163067143,local_z,1.5737069804079964,251,0.33024168687057687,1.391304347826087,4,11,13,1.1269565217391304,7.90625,14,8,8,0,1.75
8,5,0.1,4.0,5,464167746163067143,local_transverse,1.5737069804079964,251,1.114360645636249,3.0476190476190474,17,44,50,2.4685714285714284,14.4375,56,16,16,0,4.125
8,5,0.1,4.0,5,464167746163067143,hamiltonian_terms,1.5737069804079964,251,0.7466358655109315,2.10989010989011,18,61,73,1.7090109890109892,28.911458333333332,97,21,21,0,4.619047619047619
8,5,0.1,4.0,5,464167746163067143,transported_local_z,1.5737069804079964,251,1.1884686177899706,3.2820512820512815,12,27,30,2.658461538461538,8.226562500000002,33,8,8,0,4.125
8,5,0.1,4.0,5,464167746163067143,all_pauli,1.5737069804079964,251,1.603595636809872,4.970873786407767,52,179,217,4.026407766990292,36.009765625,255,24,24,0,10.625
8,5,0.1,4.0,6,88189065636125770,local_z,0.8700148866714361,97,0.2076393647782445,1.2307692307692308,5,10,11,0.996923076923077,8.125,11,8,8,0,1.375
8,5,0.1,4.0,6,88189065636125770,local_transverse,0.8700148866714361,97,0.3087354816496133,1.3617021276595744,8,18,20,1.1029787234042554,13.21875,21,16,16,0,1.625
