family,frame_depth,n_qubits,task,task_description,operator_magic,task_p2,exp_task_p2,k90,log10_k90,terminal_support,labels_used,labels_requested,capped_labels,avg_terminal_terms,log10_k90_over_all_pauli,k90_over_all_pauli
fixed_depth_clifford_dressed_T,2,8,local_z,single-site Z probes averaged over the chain,2.3014565796142468,1.3862943611198906,4.0,15.0,1.1760912590556813,16.0,8,8,0,4.0,-3.594631181007343,0.0002543131510416665
fixed_depth_clifford_dressed_T,2,8,local_transverse,single-site X and Y probes averaged over the chain,2.3014565796142468,1.5198257537444133,4.571428571428571,92.0,1.9637878273455553,104.0,16,16,0,6.5,-2.806934612717469,0.0015597873263888886
fixed_depth_clifford_dressed_T,2,8,hamiltonian_terms,"nearest-neighbor XX, YY, and ZZ terms averaged over the chain",2.3014565796142468,1.252762968495368,3.5,137.0,2.1367205671564067,204.0,21,21,0,18.857142857142858,-2.6340018729066177,0.0023227267795138864
fixed_depth_clifford_dressed_T,2,8,all_pauli,"uniform all-Pauli task, evaluated analytically",2.3014565796142468,2.3014565796142468,9.988721231519579,58982.40000000005,4.770722440063024,65536.0,nan,nan,0,nan,0.0,1.0
fixed_depth_clifford_dressed_T,2,16,local_z,single-site Z probes averaged over the chain,4.6029131592284935,1.3862943611198906,4.0,29.0,1.462397997898956,32.0,16,16,0,4.0,-8.124804372787768,7.502320739958006e-09
fixed_depth_clifford_dressed_T,2,16,local_transverse,single-site X and Y probes averaged over the chain,4.6029131592284935,1.7609878105613013,5.818181818181818,207.0,2.315970345456918,232.0,32,32,0,7.25,-7.271232025229805,5.355104804039003e-08
fixed_depth_clifford_dressed_T,2,16,hamiltonian_terms,"nearest-neighbor XX, YY, and ZZ terms averaged over the chain",4.6029131592284935,1.2909841813155656,3.6363636363636362,417.0,2.6201360549737576,560.0,45,45,0,22.4,-6.967066315712966,1.0787819822629283e-07
fixed_depth_clifford_dressed_T,2,16,all_pauli,"uniform all-Pauli task, evaluated analytically",4.6029131592284935,4.6029131592284935,99.77455184101001,3865470566.400004,9.587202370686724,4294967296.000001,nan,nan,0,nan,0.0,1.0
fixed_depth_clifford_dressed_T,2,24,local_z,single-site Z probes averaged over the chain,6.904369738842741,1.3862943611198906,4.0,44.0,1.6434526764861874,48.0,24,24,0,4.0,-12.760229624824234,1.7368822429691372e-13
fixed_depth_clifford_dressed_T,2,24,local_transverse,single-site X and Y probes averaged over the chain,6.904369738842741,1.8562979903656263,6.4,322.0,2.507855871695831,360.0,48,48,0,7.5,-11.89582642961459,1.2710820050819592e-12
