case,n_qubits,layers,t_density,state_response,target_mass,mean_retained_mass,avg_retained_terms,rms_error,relative_rms_error,exact_rms,task_p2,labels_used,capped_labels
local Z n8,8,5,0.25,z_product,0.5,0.9374999999999998,2.125,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,z_product,0.7,0.9374999999999998,2.125,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,z_product,0.9,0.9999999999999998,2.375,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,z_product,0.95,0.9999999999999998,2.375,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,x_product,0.5,0.9374999999999998,2.125,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,x_product,0.7,0.9374999999999998,2.125,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,x_product,0.9,0.9999999999999998,2.375,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,x_product,0.95,0.9999999999999998,2.375,0.0,0.0,0.0,0.6931471805599453,8,0
local Z n8,8,5,0.25,tilted_product,0.5,0.9374999999999998,2.125,0.042506916946642895,0.23853312493897605,0.1782013167249515,0.6931471805599453,8,0
local Z n8,8,5,0.25,tilted_product,0.7,0.9374999999999998,2.125,0.042506916946642895,0.23853312493897605,0.1782013167249515,0.6931471805599453,8,0
local Z n8,8,5,0.25,tilted_product,0.9,0.9999999999999998,2.375,0.0,0.0,0.1782013167249515,0.6931471805599453,8,0
local Z n8,8,5,0.25,tilted_product,0.95,0.9999999999999998,2.375,0.0,0.0,0.1782013167249515,0.6931471805599453,8,0
local X/Y n8,8,5,0.25,z_product,0.5,0.6191406249999998,7.125,0.0,0.0,0.26516504294495524,1.921878721081641,16,0
local X/Y n8,8,5,0.25,z_product,0.7,0.7499999999999998,11.1875,0.0,0.0,0.26516504294495524,1.921878721081641,16,0
local X/Y n8,8,5,0.25,z_product,0.9,0.9355468749999998,18.6875,0.0,0.0,0.26516504294495524,1.921878721081641,16,0
local X/Y n8,8,5,0.25,z_product,0.95,0.9746093749999998,21.25,0.0,0.0,0.26516504294495524,1.921878721081641,16,0
local X/Y n8,8,5,0.25,x_product,0.5,0.6191406249999998,7.125,0.14657549249448215,0.723746864455746,0.20252314682524558,1.921878721081641,16,0
local X/Y n8,8,5,0.25,x_product,0.7,0.7499999999999998,11.1875,0.13258252147247762,0.6546536707079771,0.20252314682524558,1.921878721081641,16,0
local X/Y n8,8,5,0.25,x_product,0.9,0.9355468749999998,18.6875,0.0,0.0,0.20252314682524558,1.921878721081641,16,0
local X/Y n8,8,5,0.25,x_product,0.95,0.9746093749999998,21.25,0.0,0.0,0.20252314682524558,1.921878721081641,16,0
local X/Y n8,8,5,0.25,tilted_product,0.5,0.6191406249999998,7.125,0.16562002648070895,0.5431070651955637,0.3049491289918535,1.921878721081641,16,0
local X/Y n8,8,5,0.25,tilted_product,0.7,0.7499999999999998,11.1875,0.15183770065447824,0.49791157350226267,0.3049491289918535,1.921878721081641,16,0
local X/Y n8,8,5,0.25,tilted_product,0.9,0.9355468749999998,18.6875,0.04601170833799162,0.15088322596658668,0.3049491289918535,1.921878721081641,16,0
local X/Y n8,8,5,0.25,tilted_product,0.95,0.9746093749999998,21.25,0.01573747238848818,0.051606877647152084,0.3049491289918535,1.921878721081641,16,0
Hamiltonian n10,10,4,0.25,z_product,0.5,0.8726851851851849,2.185185185185185,0.0,0.0,0.2357022603955158,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,z_product,0.7,0.8981481481481479,2.4444444444444446,0.0,0.0,0.2357022603955158,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,z_product,0.9,0.9976851851851849,3.074074074074074,0.0,0.0,0.2357022603955158,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,z_product,0.95,0.9999999999999998,3.111111111111111,0.0,0.0,0.2357022603955158,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,x_product,0.5,0.8726851851851849,2.185185185185185,0.0,0.0,0.1360827634879543,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,x_product,0.7,0.8981481481481479,2.4444444444444446,0.0,0.0,0.1360827634879543,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,x_product,0.9,0.9976851851851849,3.074074074074074,0.0,0.0,0.1360827634879543,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,x_product,0.95,0.9999999999999998,3.111111111111111,0.0,0.0,0.1360827634879543,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,tilted_product,0.5,0.8726851851851849,2.185185185185185,0.02713191381855749,0.10191837963262995,0.26621217798355773,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,tilted_product,0.7,0.8981481481481479,2.4444444444444446,0.025204390655837888,0.09467782746360538,0.26621217798355773,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,tilted_product,0.9,0.9976851851851849,3.074074074074074,2.7706293705952285e-05,0.00010407598148144647,0.26621217798355773,0.5330617652128724,27,0
Hamiltonian n10,10,4,0.25,tilted_product,0.95,0.9999999999999998,3.111111111111111,8.346192215206441e-20,3.1351654452569533e-19,0.26621217798355773,0.5330617652128724,27,0
transported Z n12,12,4,0.2,z_product,0.5,0.8854166666666665,2.75,0.0,0.0,0.0,0.8326487401709718,12,0
transported Z n12,12,4,0.2,z_product,0.7,0.9166666666666665,3.25,0.0,0.0,0.0,0.8326487401709718,12,0
transported Z n12,12,4,0.2,z_product,0.9,0.9895833333333331,3.9166666666666665,0.0,0.0,0.0,0.8326487401709718,12,0
