support_qubits,n_qubits,family,operator_magic_analytic,gate_list_nonclifford_count,task_active_t_count,task_p2,exp_task_p2,terminal_support,k50,k90,k95,avg_terminal_terms,spread_to_collapse_k90_ratio,spread_minus_collapse_task_p2,matched_pair_id
1,3,collapse_echo,0.5753641449035617,4,2,-0.0,1.0,1,1,1,1,1.0,3.0,0.980829253011726,support_1
1,3,spread_tht,0.5753641449035617,4,2,0.980829253011726,2.666666666666666,3,2,3,3,3.0,3.0,0.980829253011726,support_1
2,6,collapse_echo,1.1507282898071234,8,4,-0.0,1.0,1,1,1,1,1.0,8.0,1.9616585060234524,support_2
2,6,spread_tht,1.1507282898071234,8,4,1.9616585060234524,7.111111111111111,9,4,8,9,9.0,8.0,1.9616585060234524,support_2
3,9,collapse_echo,1.7260924347106852,12,6,-0.0,1.0,1,1,1,1,1.0,21.0,2.9424877590351786,support_3
3,9,spread_tht,1.7260924347106852,12,6,2.9424877590351786,18.962962962962962,27,8,21,24,27.0,21.0,2.9424877590351786,support_3
4,12,collapse_echo,2.3014565796142468,16,8,-0.0,1.0,1,1,1,1,1.0,61.0,3.9233170120469048,support_4
4,12,spread_tht,2.3014565796142468,16,8,3.9233170120469048,50.567901234567884,81,22,61,69,81.0,61.0,3.9233170120469048,support_4
5,15,collapse_echo,2.8768207245178083,20,10,-0.0,1.0,1,1,1,1,1.0,176.0,4.904146265058631,support_5
5,15,spread_tht,2.8768207245178083,20,10,4.904146265058631,134.84773662551436,243,52,176,202,243.0,176.0,4.904146265058631,support_5
6,18,collapse_echo,3.4521848694213704,24,12,-0.0,1.0,1,1,1,1,1.0,493.0,5.884975518070357,support_6
6,18,spread_tht,3.4521848694213704,24,12,5.884975518070357,359.59396433470494,729,154,493,595,729.0,493.0,5.884975518070357,support_6
7,21,collapse_echo,4.027549014324932,28,14,-0.0,1.0,1,1,1,1,1.0,1458.0,6.865804771082083,support_7
7,21,spread_tht,4.027549014324932,28,14,6.865804771082083,958.9172382258798,2187,380,1458,1714,2187.0,1458.0,6.865804771082083,support_7
8,24,collapse_echo,4.6029131592284935,32,16,-0.0,1.0,1,1,1,1,1.0,4219.0,7.8466340240938095,support_8
8,24,spread_tht,4.6029131592284935,32,16,7.8466340240938095,2557.112635269013,6561,1138,4219,5038,6561.0,4219.0,7.8466340240938095,support_8
9,27,collapse_echo,5.178277304132055,36,18,-0.0,1.0,1,1,1,1,1.0,11927.0,8.827463277105537,support_9
9,27,spread_tht,5.178277304132055,36,18,8.827463277105537,6818.967027384035,19683,2852,11927,14871,19683.0,11927.0,8.827463277105537,support_9
10,30,collapse_echo,5.753641449035617,40,20,-0.0,1.0,1,1,1,1,1.0,35446.0,9.808292530117262,support_10
10,30,spread_tht,5.753641449035617,40,20,9.808292530117262,18183.91207302409,59049,8554,35446,42614,59049.0,35446.0,9.808292530117262,support_10
11,33,collapse_echo,6.329005593939178,44,22,-0.0,1.0,1,1,1,1,1.0,100399.0,10.789121783128987,support_11
11,33,spread_tht,6.329005593939178,44,22,10.789121783128987,48490.4321947309,177147,21628,100399,126613,177147.0,100399.0,10.789121783128987,support_11
12,36,collapse_echo,6.904369738842741,48,24,-0.0,1.0,1,1,1,1,1.0,294232.0,11.769951036140714,support_12
12,36,spread_tht,6.904369738842741,48,24,11.769951036140714,129307.81918594903,531441,64882,294232,370776,531441.0,294232.0,11.769951036140714,support_12
