family,n_qubits,theta_label,theta,task,omega_size,ptm_p2,analytic_p2,abs_error,formula
Rz_tensor,1,pi/8,0.39269908169872414,local_z,1,0.0,0.0,0.0,0
Rz_tensor,1,pi/8,0.39269908169872414,local_transverse,2,0.2876820724517809,0.2876820724517809,0.0,-log(cos(theta)^4+sin(theta)^4)
Rz_tensor,1,pi/8,0.39269908169872414,full_transverse,2,0.2876820724517809,0.2876820724517809,0.0,-n log(cos(theta)^4+sin(theta)^4)
Rz_tensor,1,pi/8,0.39269908169872414,all_pauli,4,0.13353139262452263,0.13353139262452263,0.0,-n log((1+gamma)/2)
Rz_tensor,1,pi/6,0.5235987755982988,local_z,1,0.0,0.0,0.0,0
Rz_tensor,1,pi/6,0.5235987755982988,local_transverse,2,0.47000362924573535,0.47000362924573535,0.0,-log(cos(theta)^4+sin(theta)^4)
Rz_tensor,1,pi/6,0.5235987755982988,full_transverse,2,0.47000362924573535,0.47000362924573535,0.0,-n log(cos(theta)^4+sin(theta)^4)
Rz_tensor,1,pi/6,0.5235987755982988,all_pauli,4,0.2076393647782445,0.2076393647782445,0.0,-n log((1+gamma)/2)
Rz_tensor,1,pi/4,0.7853981633974483,local_z,1,0.0,0.0,0.0,0
Rz_tensor,1,pi/4,0.7853981633974483,local_transverse,2,0.6931471805599453,0.6931471805599451,2.220446049250313e-16,-log(cos(theta)^4+sin(theta)^4)
Rz_tensor,1,pi/4,0.7853981633974483,full_transverse,2,0.6931471805599453,0.6931471805599451,2.220446049250313e-16,-n log(cos(theta)^4+sin(theta)^4)
Rz_tensor,1,pi/4,0.7853981633974483,all_pauli,4,0.2876820724517809,0.2876820724517809,0.0,-n log((1+gamma)/2)
Rz_tensor,2,pi/8,0.39269908169872414,local_z,1,0.0,0.0,0.0,0
Rz_tensor,2,pi/8,0.39269908169872414,local_transverse,2,0.2876820724517809,0.2876820724517809,0.0,-log(cos(theta)^4+sin(theta)^4)
Rz_tensor,2,pi/8,0.39269908169872414,full_transverse,4,0.575364144903562,0.5753641449035618,2.220446049250313e-16,-n log(cos(theta)^4+sin(theta)^4)
Rz_tensor,2,pi/8,0.39269908169872414,all_pauli,16,0.26706278524904525,0.26706278524904525,0.0,-n log((1+gamma)/2)
Rz_tensor,2,pi/6,0.5235987755982988,local_z,1,0.0,0.0,0.0,0
