case,n_qubits,window_width,samples,trials,task_p2,collision_probability,effective_samples,relative_rmse,theory_relative_rmse,rmse_over_theory,k90,labels_used,capped_labels,avg_terminal_terms
window_z_string,12,3,128,180,3.0234568215688458,0.04863281250000001,6.225000000000001,0.386760402402474,0.39093486705732,0.9893218410364151,453,10,0,70.8
window_z_string,12,3,256,180,3.0234568215688458,0.04863281250000001,12.450000000000003,0.2625091901457511,0.2764326954984924,0.9496314814438538,453,10,0,70.8
window_z_string,12,3,512,180,3.0234568215688458,0.04863281250000001,24.900000000000006,0.18503458874468642,0.19546743352866,0.9466261740094731,453,10,0,70.8
window_z_string,12,3,1024,180,3.0234568215688458,0.04863281250000001,49.80000000000001,0.14286850294931386,0.1382163477492462,1.0336585018764035,453,10,0,70.8
window_z_string,12,3,2048,180,3.0234568215688458,0.04863281250000001,99.60000000000002,0.08625128482179284,0.09773371676433,0.8825130945318973,453,10,0,70.8
window_x_string,12,3,128,180,3.295861280364857,0.0370361328125,4.740625,0.4432175983955498,0.4506996227722409,0.9833990888861425,2567,10,0,563.9
window_x_string,12,3,256,180,3.295861280364857,0.0370361328125,9.48125,0.328621493780175,0.31869275954047044,1.0311545648354894,2567,10,0,563.9
window_x_string,12,3,512,180,3.295861280364857,0.0370361328125,18.9625,0.21803973766521978,0.22534981138612045,0.9675612165994877,2567,10,0,563.9
window_x_string,12,3,1024,180,3.295861280364857,0.0370361328125,37.925,0.16192990771440052,0.15934637977023522,1.0162132829618755,2567,10,0,563.9
window_x_string,12,3,2048,180,3.295861280364857,0.0370361328125,75.85,0.10196105994745429,0.11267490569306023,0.9049136479883843,2567,10,0,563.9
window_xy_ensemble,12,3,128,180,3.786780878920629,0.02266845703125,2.9015625,0.650556179110007,0.5803700505112454,1.1209334088430907,6240,80,0,468.75
window_xy_ensemble,12,3,256,180,3.786780878920629,0.02266845703125,5.803125,0.43304303465307675,0.41038359831408067,1.055215258192785,6240,80,0,468.75
window_xy_ensemble,12,3,512,180,3.786780878920629,0.02266845703125,11.60625,0.3328678717060546,0.2901850252556227,1.1470883840847155,6240,80,0,468.75
window_xy_ensemble,12,3,1024,180,3.786780878920629,0.02266845703125,23.2125,0.21378627867842667,0.20519179915704033,1.0418851024100075,6240,80,0,468.75
window_xy_ensemble,12,3,2048,180,3.786780878920629,0.02266845703125,46.425,0.1496466691609074,0.14509251262781134,1.031387950009373,6240,80,0,468.75
sampled_all_pauli,12,nan,128,180,8.428377258967183,0.00021857589483261123,0.027977714538574238,5.873806129846082,5.977869285100354,0.9825919319591605,1437753,50,22,61215.84
sampled_all_pauli,12,nan,256,180,8.428377258967183,0.00021857589483261123,0.055955429077148476,4.093646969623132,4.2269919085412395,0.9684539403426192,1437753,50,22,61215.84
sampled_all_pauli,12,nan,512,180,8.428377258967183,0.00021857589483261123,0.11191085815429695,3.502741318425077,2.988934642550177,1.1719029478130432,1437753,50,22,61215.84
sampled_all_pauli,12,nan,1024,180,8.428377258967183,0.00021857589483261123,0.2238217163085939,1.9924501457728367,2.1134959542706198,0.9427272106893828,1437753,50,22,61215.84
sampled_all_pauli,12,nan,2048,180,8.428377258967183,0.00021857589483261123,0.4476434326171878,1.6422989711078744,1.4944673212750885,1.0989192923313003,1437753,50,22,61215.84
