case,n_qubits,layers,t_density,state_response,target_mass,mean_retained_mass,avg_retained_terms,rms_error,relative_rms_error,exact_rms,task_p2,labels_used,capped_labels
window_z_string,12,3,,z_product,0.5,0.5222656249999998,16.6,0.0,0.0,0.0,3.0234568215688458,10,0
window_z_string,12,3,,z_product,0.7,0.7140624999999998,38.3,0.0,0.0,0.0,3.0234568215688458,10,0
window_z_string,12,3,,z_product,0.9,0.9082031249999998,60.2,0.0,0.0,0.0,3.0234568215688458,10,0
window_z_string,12,3,,z_product,0.95,0.9640624999999998,65.9,0.0,0.0,0.0,3.0234568215688458,10,0
window_z_string,12,3,,x_product,0.5,0.5222656249999998,16.6,0.0,0.0,0.0,3.0234568215688458,10,0
window_z_string,12,3,,x_product,0.7,0.7140624999999998,38.3,0.07905694150420946,79056941504.20946,0.0,3.0234568215688458,10,0
window_z_string,12,3,,x_product,0.9,0.9082031249999998,60.2,0.07905694150420946,79056941504.20946,0.0,3.0234568215688458,10,0
window_z_string,12,3,,x_product,0.95,0.9640624999999998,65.9,0.0,0.0,0.0,3.0234568215688458,10,0
window_z_string,12,3,,tilted_product,0.5,0.5222656249999998,16.6,0.029434673244650687,0.5955802542723471,0.049421842033048315,3.0234568215688458,10,0
window_z_string,12,3,,tilted_product,0.7,0.7140624999999998,38.3,0.012564653322764465,0.25423280084061817,0.049421842033048315,3.0234568215688458,10,0
window_z_string,12,3,,tilted_product,0.9,0.9082031249999998,60.2,0.01135586552908894,0.2297742265756766,0.049421842033048315,3.0234568215688458,10,0
window_z_string,12,3,,tilted_product,0.95,0.9640624999999998,65.9,0.0045612595339619005,0.09229238220040023,0.049421842033048315,3.0234568215688458,10,0
window_x_string,12,3,,z_product,0.5,0.5199218749999999,125.3,0.0,0.0,0.15811388300841892,3.295861280364857,10,0
window_x_string,12,3,,z_product,0.7,0.7129882812499998,242.9,0.0,0.0,0.15811388300841892,3.295861280364857,10,0
window_x_string,12,3,,z_product,0.9,0.9038574218749998,447.6,0.0,0.0,0.15811388300841892,3.295861280364857,10,0
window_x_string,12,3,,z_product,0.95,0.9535156249999999,505.9,0.0,0.0,0.15811388300841892,3.295861280364857,10,0
window_x_string,12,3,,x_product,0.5,0.5199218749999999,125.3,0.05590169943749468,0.17193294306218612,0.3251366401450808,3.295861280364857,10,0
window_x_string,12,3,,x_product,0.7,0.7129882812499998,242.9,0.05590169943749468,0.17193294306218612,0.3251366401450808,3.295861280364857,10,0
window_x_string,12,3,,x_product,0.9,0.9038574218749998,447.6,0.07905694150420942,0.24314989989726482,0.3251366401450808,3.295861280364857,10,0
window_x_string,12,3,,x_product,0.95,0.9535156249999999,505.9,0.05633673867912478,0.17327096279886048,0.3251366401450808,3.295861280364857,10,0
