label,source,n_qubits,depth,num_gates,circuit,median_c2,mean_c2,max_c2,median_cancellation,operator_magic
T_layer_n1,constructed,1,1,1,T0,0.0,0.0,0.0,0.0,0.28768207245177946
H_layer_n1,constructed,1,1,1,H0,0.0,0.0,0.0,0.0,0.0
simple_clifford_n1_L1,constructed,1,1,4,H0 S0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799726,0.0
simple_clifford_n1_L2,constructed,1,2,8,H0 S0 H0 S0 H0 S0 H0 S0,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.039720770839918,0.0
simple_clifford_n1_L3,constructed,1,3,12,H0 S0 H0 S0 H0 S0 H0 S0 H0 S0 H0 S0,3.4657359027997265,3.4657359027997265,3.4657359027997265,15.201804919084164,0.0
T_layer_n2,constructed,2,1,2,T0 T1,0.0,0.0,0.0,0.0,0.5753641449035617
H_layer_n2,constructed,2,1,2,H0 H1,0.0,0.0,0.0,0.0,0.0
simple_clifford_n2_L1,constructed,2,1,8,H0 H1 S0 S1 H0 H1 S0 S1,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
simple_clifford_n2_L2,constructed,2,2,16,H0 H1 S0 S1 H0 H1 S0 S1 H0 H1 S0 S1 H0 H1 S0 S1,4.1588830833596715,4.1588830833596715,4.1588830833596715,2.0794415416798357,0.0
simple_clifford_n2_L3,constructed,2,3,24,H0 H1 S0 S1 H0 H1 S0 S1 H0 H1 S0 S1 H0 H1 S0 S1 H0 H1 S0 S1 H0 H1 S0 S1,6.931471805599453,6.931471805599453,6.931471805599453,30.40360983816833,0.0
T_layer_n3,constructed,3,1,3,T0 T1 T2,0.0,0.0,0.0,0.0,0.8630462173553428
H_layer_n3,constructed,3,1,3,H0 H1 H2,0.0,0.0,0.0,0.0,0.0
simple_clifford_n3_L1,constructed,3,1,12,H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.0397207708399179,0.0
simple_clifford_n3_L2,constructed,3,2,24,H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2,6.238324625039508,6.238324625039509,6.238324625039508,3.1191623125197543,0.0
simple_clifford_n3_L3,constructed,3,3,36,H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2 H0 H1 H2 S0 S1 S2,10.39720770839918,10.39720770839918,10.39720770839918,31.78990419928822,0.0
brickwork_clifford_n2_L1,constructed,2,1,8,"H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1",1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
brickwork_clifford_n2_L2,constructed,2,2,16,"H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1 H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1",4.1588830833596715,4.1588830833596715,4.1588830833596715,15.375091714224151,0.0
brickwork_clifford_n2_L3,constructed,2,3,24,"H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1 H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1 H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1",6.931471805599453,6.931471805599453,6.931471805599453,3.465735902799727,0.0
brickwork_clifford_n2_L4,constructed,2,4,32,"H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1 H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1 H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1 H0 H1 CZ0,1 H0 H1 S0 S1 CZ0,1",9.704060527839234,9.704060527839234,9.704060527839234,31.78990419928822,0.0
sample_n1_d1_001,sample,1,1,1,T0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d1_002,sample,1,1,1,S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d1_003,sample,1,1,1,H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d2_001,sample,1,2,2,H0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d2_002,sample,1,2,2,S0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d2_003,sample,1,2,2,T0 H0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d2_004,sample,1,2,2,H0 T0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d2_005,sample,1,2,2,S0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d2_006,sample,1,2,2,T0 S0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d2_007,sample,1,2,2,T0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d2_008,sample,1,2,2,H0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d2_009,sample,1,2,2,S0 T0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d3_001,sample,1,3,3,S0 S0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_002,sample,1,3,3,H0 S0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_003,sample,1,3,3,H0 S0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799726,0.0
sample_n1_d3_004,sample,1,3,3,H0 S0 T0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_005,sample,1,3,3,S0 T0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_006,sample,1,3,3,H0 T0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_007,sample,1,3,3,S0 S0 T0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d3_008,sample,1,3,3,S0 S0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_009,sample,1,3,3,T0 T0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_010,sample,1,3,3,T0 H0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d3_011,sample,1,3,3,T0 H0 T0,0.0,0.0,0.0,0.0,0.5753641449035615
sample_n1_d3_012,sample,1,3,3,S0 T0 H0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_013,sample,1,3,3,H0 H0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d3_014,sample,1,3,3,S0 T0 S0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d3_015,sample,1,3,3,T0 S0 S0,0.0,0.0,0.0,0.0,0.28768207245177946
sample_n1_d3_016,sample,1,3,3,S0 H0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d3_017,sample,1,3,3,T0 S0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_018,sample,1,3,3,T0 T0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_019,sample,1,3,3,S0 H0 T0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_020,sample,1,3,3,H0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d3_021,sample,1,3,3,H0 T0 S0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_022,sample,1,3,3,T0 S0 H0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_023,sample,1,3,3,S0 H0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d3_024,sample,1,3,3,T0 T0 T0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_025,sample,1,3,3,H0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d3_026,sample,1,3,3,T0 H0 S0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d3_027,sample,1,3,3,H0 H0 H0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d4_001,sample,1,4,4,H0 S0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799726,0.0
sample_n1_d4_002,sample,1,4,4,H0 T0 T0 S0,0.0,0.0,0.0,0.0,0.0
