family,n_qubits,task,omega_size,task_p2,operator_magic,global_pauli_p2,analytic
T_tensor,1,all_paulis,4,0.2876820724517809,0.28768207245177946,0.2876820724517809,1 log(4/3)
T_tensor,1,z_sector,2,0.0,0.28768207245177946,0.2876820724517809,0
T_tensor,1,xy_all_sector,2,0.6931471805599451,0.28768207245177946,0.2876820724517809,1 log 2
T_tensor,1,xy_one_site_sector,2,0.6931471805599451,0.28768207245177946,0.2876820724517809,log 2
T_tensor,2,all_paulis,16,0.575364144903561,0.5753641449035617,0.575364144903561,2 log(4/3)
T_tensor,2,z_sector,4,0.0,0.5753641449035617,0.575364144903561,0
T_tensor,2,xy_all_sector,4,1.3862943611198897,0.5753641449035617,0.575364144903561,2 log 2
T_tensor,2,xy_one_site_sector,2,0.6931471805599444,0.5753641449035617,0.575364144903561,log 2
T_tensor,3,all_paulis,64,0.8630462173553415,0.8630462173553428,0.8630462173553415,3 log(4/3)
T_tensor,3,z_sector,8,0.0,0.8630462173553428,0.8630462173553415,0
T_tensor,3,xy_all_sector,8,2.079441541679835,0.8630462173553428,0.8630462173553415,3 log 2
T_tensor,3,xy_one_site_sector,2,0.6931471805599444,0.8630462173553428,0.8630462173553415,log 2
random_clifford_t,3,all_paulis,64,1.1507282898071256,1.1507282898071254,1.1507282898071254,
random_clifford_t,3,local_observables,9,1.2562412328716948,1.1507282898071254,1.1507282898071254,
random_clifford_t,3,z_sector,8,0.9400072584914728,1.1507282898071254,1.1507282898071254,
random_clifford_t,3,all_paulis,64,1.3555227024531409,1.355522702453137,1.3555227024531409,
random_clifford_t,3,local_observables,9,1.2809338454620678,1.355522702453137,1.3555227024531409,
random_clifford_t,3,z_sector,8,0.7576857016975201,1.355522702453137,1.3555227024531409,
random_clifford_t,3,all_paulis,64,0.5753641449035681,0.575364144903563,0.5753641449035681,
random_clifford_t,3,local_observables,9,0.40546510810817077,0.575364144903563,0.5753641449035681,
random_clifford_t,3,z_sector,8,0.5753641449035681,0.575364144903563,0.5753641449035681,
random_clifford_t,3,all_paulis,64,0.8630462173553463,0.8630462173553433,0.8630462173553464,
random_clifford_t,3,local_observables,9,0.7801585575495783,0.8630462173553433,0.8630462173553464,
random_clifford_t,3,z_sector,8,0.2876820724517842,0.8630462173553433,0.8630462173553464,
